rank,sync_type,n,min,p5,p25,median,p75,p95,max
0,bwd_pre_dispatch,288,28,37,52,67,78,134,730
0,bwd_pre_combine,300,10,26,43,58,71,99,175
0,bwd_post_dispatch,288,31,32,34,36,37,41,67
0,bwd_post_combine,300,2,4,15,22,30,85,294
0,fwd_pre_dispatch,288,39,49,57,64,70,102,156
0,fwd_pre_combine,276,5,22,34,41,47,99,133
1,bwd_pre_dispatch,288,10,35,46,62,87,132,934
1,bwd_pre_combine,299,8,30,43,54,67,101,178
1,bwd_post_dispatch,288,24,27,30,31,34,38,59
1,bwd_post_combine,300,4,11,23,30,37,104,290
1,fwd_pre_dispatch,288,55,66,74,79,85,109,175
1,fwd_pre_combine,275,8,24,32,39,46,99,134
2,bwd_pre_dispatch,288,17,30,42,71,90,118,886
2,bwd_pre_combine,300,24,65,98,107,118,146,230
2,bwd_post_dispatch,288,28,31,33,35,36,41,75
2,bwd_post_combine,300,17,26,36,42,49,113,294
2,fwd_pre_dispatch,288,34,42,48,55,61,86,191
2,fwd_pre_combine,276,9,30,41,47,57,97,134
3,bwd_pre_dispatch,288,18,26,41,53,73,111,629
3,bwd_pre_combine,300,25,53,75,90,105,134,205
3,bwd_post_dispatch,288,19,26,28,29,31,34,58
3,bwd_post_combine,300,15,24,34,41,47,107,295
3,fwd_pre_dispatch,288,37,51,61,69,75,92,166
3,fwd_pre_combine,276,7,18,31,39,46,92,137
4,bwd_pre_dispatch,288,39,54,88,105,115,155,943
4,bwd_pre_combine,300,35,47,63,73,85,109,196
4,bwd_post_dispatch,288,14,26,28,30,32,34,66
4,bwd_post_combine,300,9,23,35,42,48,110,309
4,fwd_pre_dispatch,288,45,57,66,72,79,105,165
4,fwd_pre_combine,276,11,26,38,44,52,100,138
5,bwd_pre_dispatch,288,27,46,55,62,75,128,965
5,bwd_pre_combine,300,15,41,56,67,76,104,189
5,bwd_post_dispatch,288,27,33,36,37,38,41,55
5,bwd_post_combine,300,14,25,35,42,48,111,294
5,fwd_pre_dispatch,288,37,46,58,68,75,93,170
5,fwd_pre_combine,276,13,23,37,44,51,98,132
6,bwd_pre_dispatch,288,33,55,82,97,107,153,955
6,bwd_pre_combine,300,16,68,96,107,117,141,227
6,bwd_post_dispatch,288,22,30,34,35,37,41,67
6,bwd_post_combine,300,16,26,37,42,49,112,303
6,fwd_pre_dispatch,288,37,47,52,59,64,87,157
6,fwd_pre_combine,276,14,27,38,43,50,89,133
7,bwd_pre_dispatch,288,20,33,41,49,60,98,803
7,bwd_pre_combine,300,14,53,67,80,92,120,200
7,bwd_post_dispatch,288,9,26,29,31,31,34,45
7,bwd_post_combine,300,4,20,31,36,43,109,298
7,fwd_pre_dispatch,287,6,12,23,31,38,69,126
7,fwd_pre_combine,269,6,11,26,33,41,88,130
8,bwd_pre_dispatch,254,6,8,13,21,34,87,395
8,bwd_pre_combine,291,6,11,21,34,53,80,188
8,bwd_post_dispatch,288,23,30,34,36,37,39,61
8,bwd_post_combine,300,9,18,28,37,46,121,297
8,fwd_pre_dispatch,288,32,53,63,68,75,103,167
8,fwd_pre_combine,276,7,16,29,36,45,104,134
9,bwd_pre_dispatch,282,9,23,60,75,89,113,729
9,bwd_pre_combine,298,9,33,59,68,77,96,176
9,bwd_post_dispatch,288,25,30,32,34,35,39,72
9,bwd_post_combine,300,4,20,31,38,44,59,303
9,fwd_pre_dispatch,288,32,40,52,60,68,90,165
9,fwd_pre_combine,276,10,20,32,38,45,96,127
10,bwd_pre_dispatch,288,18,39,61,73,86,125,829
10,bwd_pre_combine,300,16,59,82,94,106,131,227
10,bwd_post_dispatch,288,21,32,35,36,38,41,56
10,bwd_post_combine,300,4,19,28,37,42,97,289
10,fwd_pre_dispatch,288,25,40,51,59,68,95,152
10,fwd_pre_combine,276,6,14,26,33,40,90,134
11,bwd_pre_dispatch,288,18,28,38,49,69,121,673
11,bwd_pre_combine,300,21,53,76,93,105,132,256
11,bwd_post_dispatch,288,21,39,41,43,44,48,87
11,bwd_post_combine,300,4,24,35,42,48,112,302
11,fwd_pre_dispatch,288,31,43,57,66,74,102,164
11,fwd_pre_combine,275,7,19,33,40,47,85,135
12,bwd_pre_dispatch,287,9,18,36,51,66,101,648
12,bwd_pre_combine,297,12,23,50,61,70,93,180
12,bwd_post_dispatch,288,9,15,18,19,21,24,79
12,bwd_post_combine,300,4,16,28,35,43,61,298
12,fwd_pre_dispatch,286,7,13,24,31,38,63,134
12,fwd_pre_combine,276,10,22,32,39,47,93,142
13,bwd_pre_dispatch,288,9,19,30,41,65,113,876
13,bwd_pre_combine,297,9,17,28,40,53,83,161
13,bwd_post_dispatch,288,23,33,35,36,38,41,73
13,bwd_post_combine,300,4,4,14,23,31,66,282
13,fwd_pre_dispatch,288,10,31,41,48,55,76,151
13,fwd_pre_combine,271,6,10,19,26,34,80,132
14,bwd_pre_dispatch,288,52,76,92,100,111,145,1025
14,bwd_pre_combine,299,12,53,78,90,100,125,213
14,bwd_post_dispatch,288,29,38,40,41,43,46,80
14,bwd_post_combine,300,4,4,13,20,26,78,282
14,fwd_pre_dispatch,288,30,40,49,55,61,72,121
14,fwd_pre_combine,276,5,14,24,32,40,53,116
15,bwd_pre_dispatch,284,8,21,33,40,52,78,544
15,bwd_pre_combine,300,6,40,64,84,100,126,221
15,bwd_post_dispatch,288,38,39,41,43,44,49,82
15,bwd_post_combine,300,4,16,26,31,40,54,289
15,fwd_pre_dispatch,113,5,5,6,9,14,21,47
15,fwd_pre_combine,273,5,8,25,32,40,49,123
16,bwd_pre_dispatch,288,20,31,44,51,60,113,628
16,bwd_pre_combine,300,7,20,35,50,63,89,162
16,bwd_post_dispatch,288,19,33,35,36,38,41,88
16,bwd_post_combine,300,4,17,26,33,39,103,304
16,fwd_pre_dispatch,288,35,40,47,54,62,83,149
16,fwd_pre_combine,274,6,17,28,35,41,94,133
17,bwd_pre_dispatch,288,26,72,103,109,117,161,997
17,bwd_pre_combine,300,26,51,66,76,86,112,194
17,bwd_post_dispatch,288,4,4,4,4,4,12,59
17,bwd_post_combine,300,4,22,31,38,45,107,309
17,fwd_pre_dispatch,288,23,28,38,43,50,77,139
17,fwd_pre_combine,276,22,29,38,45,52,99,148
18,bwd_pre_dispatch,288,39,57,92,105,117,157,938
18,bwd_pre_combine,300,26,76,93,102,114,143,249
18,bwd_post_dispatch,288,18,26,28,30,32,35,81
18,bwd_post_combine,300,6,21,31,40,46,109,292
18,fwd_pre_dispatch,288,40,51,61,69,76,102,173
18,fwd_pre_combine,276,23,32,42,47,54,102,146
19,bwd_pre_dispatch,288,23,40,50,58,68,106,705
19,bwd_pre_combine,300,22,55,84,93,103,126,221
19,bwd_post_dispatch,288,4,7,9,10,13,17,59
19,bwd_post_combine,300,15,23,33,39,46,104,306
19,fwd_pre_dispatch,288,12,28,37,43,48,73,139
19,fwd_pre_combine,275,11,17,30,38,44,76,125
20,bwd_pre_dispatch,288,6,75,83,89,98,130,830
20,bwd_pre_combine,300,5,43,68,76,87,106,199
20,bwd_post_dispatch,288,10,26,31,33,35,37,51
20,bwd_post_combine,300,4,24,36,42,48,122,293
20,fwd_pre_dispatch,288,32,47,59,65,71,97,157
20,fwd_pre_combine,276,14,25,36,42,50,91,139
21,bwd_pre_dispatch,248,5,7,12,20,28,89,515
21,bwd_pre_combine,297,5,7,25,33,44,69,149
21,bwd_post_dispatch,288,9,35,39,41,43,44,65
21,bwd_post_combine,300,7,20,29,36,44,103,296
21,fwd_pre_dispatch,288,22,37,47,53,59,83,156
21,fwd_pre_combine,273,5,9,20,30,38,89,130
22,bwd_pre_dispatch,288,6,27,45,59,71,104,788
22,bwd_pre_combine,299,5,46,65,77,91,111,207
22,bwd_post_dispatch,288,6,20,25,27,29,31,50
22,bwd_post_combine,300,4,11,22,28,34,87,292
22,fwd_pre_dispatch,288,16,23,33,39,45,71,144
22,fwd_pre_combine,275,5,15,26,34,40,95,131
23,bwd_pre_dispatch,287,9,16,25,36,61,120,859
23,bwd_pre_combine,300,9,48,71,91,105,129,204
23,bwd_post_dispatch,288,7,23,28,30,31,34,45
23,bwd_post_combine,300,11,21,30,37,44,109,302
23,fwd_pre_dispatch,288,16,25,33,40,47,73,126
23,fwd_pre_combine,273,5,13,25,34,41,86,128
24,bwd_pre_dispatch,288,33,49,64,78,92,139,891
24,bwd_pre_combine,300,14,35,54,63,73,99,178
24,bwd_post_dispatch,288,19,23,26,27,29,32,59
24,bwd_post_combine,300,14,25,36,42,48,115,305
24,fwd_pre_dispatch,288,28,40,50,57,63,93,156
24,fwd_pre_combine,276,7,24,38,44,51,99,136
25,bwd_pre_dispatch,288,38,49,61,80,109,141,962
25,bwd_pre_combine,300,23,44,61,69,80,103,184
25,bwd_post_dispatch,288,30,32,34,36,37,43,79
25,bwd_post_combine,300,14,26,35,42,49,105,304
25,fwd_pre_dispatch,288,35,55,66,73,78,101,171
25,fwd_pre_combine,276,6,16,30,37,45,100,135
26,bwd_pre_dispatch,288,15,47,81,94,106,148,881
26,bwd_pre_combine,300,27,64,86,96,109,132,200
26,bwd_post_dispatch,288,23,25,28,29,31,36,79
26,bwd_post_combine,300,4,16,29,36,42,109,294
26,fwd_pre_dispatch,288,41,50,60,68,74,107,167
26,fwd_pre_combine,276,9,24,33,40,45,92,135
27,bwd_pre_dispatch,287,9,20,28,37,47,91,669
27,bwd_pre_combine,300,17,58,87,98,109,138,232
27,bwd_post_dispatch,288,10,13,15,17,18,28,77
27,bwd_post_combine,300,15,26,37,43,49,103,299
27,fwd_pre_dispatch,288,28,44,54,62,68,95,159
27,fwd_pre_combine,276,6,20,34,40,48,99,133
28,bwd_pre_dispatch,288,19,35,74,90,102,137,848
28,bwd_pre_combine,300,16,50,62,74,86,105,187
28,bwd_post_dispatch,288,28,32,35,36,38,42,86
28,bwd_post_combine,300,17,28,38,43,50,117,308
28,fwd_pre_dispatch,288,18,28,38,43,52,86,138
28,fwd_pre_combine,276,21,33,43,49,55,104,136
29,bwd_pre_dispatch,288,15,25,36,45,56,100,683
29,bwd_pre_combine,300,14,25,41,51,64,93,174
29,bwd_post_dispatch,288,27,30,32,34,36,41,91
29,bwd_post_combine,300,4,18,32,37,44,99,298
29,fwd_pre_dispatch,288,16,29,39,46,53,77,139
29,fwd_pre_combine,275,9,23,32,38,46,93,139
30,bwd_pre_dispatch,288,39,68,92,102,112,143,920
30,bwd_pre_combine,300,34,80,100,110,120,146,230
30,bwd_post_dispatch,288,14,19,21,23,25,28,70
30,bwd_post_combine,300,4,21,33,40,47,111,297
30,fwd_pre_dispatch,288,25,33,44,51,58,84,146
30,fwd_pre_combine,276,7,30,39,46,53,100,129
31,bwd_pre_dispatch,288,23,35,45,51,60,102,807
31,bwd_pre_combine,297,9,38,50,61,69,97,170
31,bwd_post_dispatch,288,23,32,34,35,37,40,76
31,bwd_post_combine,300,4,4,14,21,28,76,282
31,fwd_pre_dispatch,288,26,40,49,55,64,81,157
31,fwd_pre_combine,224,6,7,14,21,30,81,122
32,bwd_pre_dispatch,287,6,12,23,31,41,89,325
32,bwd_pre_combine,290,6,9,22,32,50,86,169
32,bwd_post_dispatch,288,31,38,40,41,43,46,92
32,bwd_post_combine,300,4,18,25,33,40,109,289
32,fwd_pre_dispatch,288,28,39,48,55,62,91,154
32,fwd_pre_combine,273,6,9,20,30,35,91,130
33,bwd_pre_dispatch,288,14,44,75,88,99,149,746
33,bwd_pre_combine,300,8,37,59,69,78,109,171
33,bwd_post_dispatch,288,10,20,22,24,25,30,78
33,bwd_post_combine,300,9,19,30,36,44,110,276
33,fwd_pre_dispatch,285,6,14,24,30,38,64,129
33,fwd_pre_combine,274,8,14,27,35,40,89,125
34,bwd_pre_dispatch,288,39,61,80,92,104,143,879
34,bwd_pre_combine,300,16,59,87,97,108,133,231
34,bwd_post_dispatch,288,36,38,40,42,43,47,76
34,bwd_post_combine,300,4,13,23,29,38,102,298
34,fwd_pre_dispatch,288,23,31,42,50,59,84,147
34,fwd_pre_combine,276,6,18,28,35,43,90,134
35,bwd_pre_dispatch,288,23,35,45,52,63,126,750
35,bwd_pre_combine,300,21,51,81,95,105,129,201
35,bwd_post_dispatch,288,28,32,33,35,37,41,69
35,bwd_post_combine,300,7,24,36,42,48,119,309
35,fwd_pre_dispatch,288,37,50,60,66,74,94,167
35,fwd_pre_combine,276,6,16,28,35,42,85,136
36,bwd_pre_dispatch,288,11,23,37,47,58,119,598
36,bwd_pre_combine,295,15,31,51,62,72,107,265
36,bwd_post_dispatch,288,22,32,34,36,38,42,82
36,bwd_post_combine,300,4,21,33,39,47,133,290
36,fwd_pre_dispatch,288,35,47,57,64,70,89,159
36,fwd_pre_combine,270,5,15,32,41,48,79,131
37,bwd_pre_dispatch,288,16,32,56,79,100,139,831
37,bwd_pre_combine,297,6,16,30,41,53,83,162
37,bwd_post_dispatch,288,32,35,36,38,39,47,93
37,bwd_post_combine,300,4,7,19,27,35,58,269
37,fwd_pre_dispatch,286,20,56,64,70,77,95,173
37,fwd_pre_combine,269,6,10,22,29,36,57,130
38,bwd_pre_dispatch,288,45,59,79,96,112,145,1039
38,bwd_pre_combine,300,24,59,86,98,110,138,209
38,bwd_post_dispatch,288,14,17,18,20,22,28,87
38,bwd_post_combine,300,4,14,27,34,42,120,276
38,fwd_pre_dispatch,288,22,33,43,50,57,76,147
38,fwd_pre_combine,276,12,22,33,39,47,96,143
39,bwd_pre_dispatch,288,35,54,64,75,99,149,1138
39,bwd_pre_combine,300,32,69,90,102,113,143,207
39,bwd_post_dispatch,288,29,32,34,36,37,43,66
39,bwd_post_combine,300,11,20,30,39,46,100,302
39,fwd_pre_dispatch,288,37,51,63,70,78,100,162
39,fwd_pre_combine,276,16,25,35,42,49,98,139
40,bwd_pre_dispatch,288,26,41,53,64,81,126,864
40,bwd_pre_combine,300,13,44,59,69,82,119,205
40,bwd_post_dispatch,288,17,36,38,39,41,44,71
40,bwd_post_combine,300,13,25,36,42,48,123,296
40,fwd_pre_dispatch,288,18,26,36,43,51,76,143
40,fwd_pre_combine,276,15,31,41,47,54,98,144
41,bwd_pre_dispatch,288,28,39,54,78,104,141,890
41,bwd_pre_combine,300,6,34,50,62,71,103,235
41,bwd_post_dispatch,288,16,28,31,33,34,37,51
41,bwd_post_combine,300,4,20,33,40,48,102,297
41,fwd_pre_dispatch,288,22,40,57,65,71,89,153
41,fwd_pre_combine,270,6,14,29,39,46,81,117
42,bwd_pre_dispatch,288,36,72,80,85,93,132,821
42,bwd_pre_combine,299,15,52,75,88,99,126,220
42,bwd_post_dispatch,288,4,4,5,7,9,15,63
42,bwd_post_combine,300,4,10,21,29,37,97,282
42,fwd_pre_dispatch,284,6,15,23,33,41,63,127
42,fwd_pre_combine,272,6,14,25,32,41,89,138
43,bwd_pre_dispatch,127,5,5,9,15,20,52,81
43,bwd_pre_combine,300,6,34,48,61,81,110,196
43,bwd_post_dispatch,288,22,36,38,40,41,44,66
43,bwd_post_combine,300,7,20,31,36,44,111,290
43,fwd_pre_dispatch,288,12,26,32,40,46,77,136
43,fwd_pre_combine,269,6,9,19,28,36,77,125
44,bwd_pre_dispatch,288,6,14,25,33,42,78,510
44,bwd_pre_combine,298,6,14,32,51,64,94,161
44,bwd_post_dispatch,288,22,26,28,30,32,35,59
44,bwd_post_combine,300,11,26,35,42,49,117,307
44,fwd_pre_dispatch,288,21,32,44,54,63,88,156
44,fwd_pre_combine,276,8,27,39,44,51,100,142
45,bwd_pre_dispatch,288,12,39,69,87,97,135,801
45,bwd_pre_combine,300,19,35,53,65,76,107,180
45,bwd_post_dispatch,288,13,28,31,33,35,36,47
45,bwd_post_combine,300,4,20,31,38,44,113,295
45,fwd_pre_dispatch,285,6,9,17,23,30,55,117
45,fwd_pre_combine,276,6,22,33,40,48,94,133
46,bwd_pre_dispatch,288,14,29,56,72,88,116,791
46,bwd_pre_combine,300,11,46,68,82,98,133,216
46,bwd_post_dispatch,288,25,32,36,37,39,41,60
46,bwd_post_combine,300,4,9,20,27,36,100,293
46,fwd_pre_dispatch,288,37,47,58,65,74,90,170
46,fwd_pre_combine,269,6,13,23,30,37,86,131
47,bwd_pre_dispatch,288,11,18,28,39,54,91,672
47,bwd_pre_combine,299,26,51,73,91,103,124,221
47,bwd_post_dispatch,288,25,33,35,37,39,42,74
47,bwd_post_combine,300,4,24,36,42,48,103,306
47,fwd_pre_dispatch,210,6,6,9,16,23,72,118
47,fwd_pre_combine,275,6,16,30,36,43,97,131
48,bwd_pre_dispatch,288,16,30,42,48,57,98,564
48,bwd_pre_combine,296,6,23,37,50,62,86,189
48,bwd_post_dispatch,288,34,35,37,39,41,45,70
48,bwd_post_combine,300,12,21,30,38,44,106,303
48,fwd_pre_dispatch,288,38,50,61,67,76,107,171
48,fwd_pre_combine,275,5,16,26,35,43,90,134
49,bwd_pre_dispatch,287,18,48,83,99,110,156,880
49,bwd_pre_combine,298,22,38,56,67,76,102,232
49,bwd_post_dispatch,288,31,34,38,39,40,45,68
49,bwd_post_combine,300,4,21,34,39,48,99,308
49,fwd_pre_dispatch,287,39,48,56,64,70,88,162
49,fwd_pre_combine,274,8,22,34,41,48,92,127
50,bwd_pre_dispatch,288,9,36,69,80,91,127,841
50,bwd_pre_combine,300,6,58,86,99,108,129,224
50,bwd_post_dispatch,288,22,33,35,37,38,41,64
50,bwd_post_combine,300,4,5,15,21,28,93,286
50,fwd_pre_dispatch,288,22,34,45,52,59,83,162
50,fwd_pre_combine,270,6,14,25,31,38,96,131
51,bwd_pre_dispatch,284,6,11,20,27,36,76,383
51,bwd_pre_combine,300,15,42,55,66,80,116,199
51,bwd_post_dispatch,288,8,31,33,34,36,39,62
51,bwd_post_combine,300,10,23,34,40,46,103,292
51,fwd_pre_dispatch,275,6,8,17,23,32,66,123
51,fwd_pre_combine,276,6,14,26,34,42,79,134
52,bwd_pre_dispatch,288,6,17,36,57,72,119,612
52,bwd_pre_combine,224,6,7,17,30,50,86,174
52,bwd_post_dispatch,288,31,36,38,39,41,44,65
52,bwd_post_combine,300,4,7,17,24,32,98,282
52,fwd_pre_dispatch,288,10,24,35,43,51,83,137
52,fwd_pre_combine,264,7,12,22,30,36,84,124
53,bwd_pre_dispatch,282,6,13,22,36,55,102,528
53,bwd_pre_combine,300,8,22,37,53,64,85,167
53,bwd_post_dispatch,288,28,40,42,44,46,49,79
53,bwd_post_combine,300,4,4,14,21,28,97,278
53,fwd_pre_dispatch,288,27,39,50,57,65,92,152
53,fwd_pre_combine,275,6,17,26,32,38,87,134
54,bwd_pre_dispatch,288,28,40,61,77,92,131,869
54,bwd_pre_combine,300,29,69,91,99,109,132,215
54,bwd_post_dispatch,288,30,34,36,37,39,41,81
54,bwd_post_combine,300,4,14,27,35,42,109,294
54,fwd_pre_dispatch,288,30,42,54,63,70,101,151
54,fwd_pre_combine,275,7,21,32,39,44,89,136
55,bwd_pre_dispatch,288,16,31,40,50,69,124,918
55,bwd_pre_combine,299,8,37,56,67,80,114,194
55,bwd_post_dispatch,288,16,28,30,32,33,37,61
55,bwd_post_combine,300,4,4,7,16,26,71,274
55,fwd_pre_dispatch,288,16,25,33,40,47,66,131
55,fwd_pre_combine,252,5,7,18,23,32,76,115
56,bwd_pre_dispatch,288,25,41,52,60,74,120,872
56,bwd_pre_combine,297,6,18,31,42,55,85,161
56,bwd_post_dispatch,288,6,9,12,12,15,18,58
56,bwd_post_combine,300,13,20,29,36,42,105,284
56,fwd_pre_dispatch,287,9,21,29,36,43,68,129
56,fwd_pre_combine,275,6,15,27,34,42,100,130
57,bwd_pre_dispatch,288,40,53,82,101,115,147,774
57,bwd_pre_combine,300,11,49,68,75,89,116,201
57,bwd_post_dispatch,288,32,35,37,39,41,46,83
57,bwd_post_combine,300,9,23,37,43,50,105,304
57,fwd_pre_dispatch,288,16,32,42,49,58,82,150
57,fwd_pre_combine,276,6,21,35,42,50,86,127
58,bwd_pre_dispatch,288,59,89,100,114,134,165,1340
58,bwd_pre_combine,300,32,84,111,126,137,158,255
58,bwd_post_dispatch,288,10,13,15,17,18,28,62
58,bwd_post_combine,300,4,26,36,43,49,105,293
58,fwd_pre_dispatch,288,14,27,37,43,51,73,132
58,fwd_pre_combine,276,14,28,41,47,56,84,133
59,bwd_pre_dispatch,288,52,94,117,149,161,202,1465
59,bwd_pre_combine,300,33,88,107,120,136,158,255
59,bwd_post_dispatch,288,16,20,21,23,25,33,75
59,bwd_post_combine,300,4,25,36,44,50,120,297
59,fwd_pre_dispatch,288,9,17,26,33,41,60,136
59,fwd_pre_combine,276,7,28,38,45,51,94,131
60,bwd_pre_dispatch,288,26,48,61,80,99,154,1066
60,bwd_pre_combine,297,6,18,32,43,58,88,172
60,bwd_post_dispatch,288,15,25,28,30,32,35,67
60,bwd_post_combine,300,4,7,16,23,32,91,275
60,fwd_pre_dispatch,288,26,40,49,56,63,88,160
60,fwd_pre_combine,275,5,13,23,31,41,86,124
61,bwd_pre_dispatch,288,16,49,63,79,99,152,856
61,bwd_pre_combine,299,12,29,52,67,77,97,186
61,bwd_post_dispatch,288,8,33,36,38,39,41,70
61,bwd_post_combine,300,4,22,30,38,44,103,301
61,fwd_pre_dispatch,288,20,25,32,39,46,69,135
61,fwd_pre_combine,274,6,16,29,38,43,101,143
62,bwd_pre_dispatch,288,21,33,48,61,75,114,791
62,bwd_pre_combine,300,19,62,89,101,113,135,232
62,bwd_post_dispatch,288,20,33,35,37,38,42,56
62,bwd_post_combine,300,15,24,33,40,46,104,296
62,fwd_pre_dispatch,288,24,37,48,55,62,89,156
62,fwd_pre_combine,276,13,25,32,39,47,95,133
63,bwd_pre_dispatch,288,18,26,35,50,76,124,886
63,bwd_pre_combine,300,23,47,64,78,94,117,213
63,bwd_post_dispatch,288,26,34,37,39,41,44,76
63,bwd_post_combine,300,4,12,23,29,36,95,282
63,fwd_pre_dispatch,288,25,38,47,53,59,79,159
63,fwd_pre_combine,272,11,21,30,37,43,88,134
64,bwd_pre_dispatch,279,6,9,17,26,37,69,611
64,bwd_pre_combine,272,6,11,25,41,57,83,169
64,bwd_post_dispatch,288,31,39,41,43,45,47,70
64,bwd_post_combine,300,4,13,25,31,37,106,291
64,fwd_pre_dispatch,288,15,26,36,43,50,70,133
64,fwd_pre_combine,269,6,12,25,33,41,83,124
65,bwd_pre_dispatch,287,8,22,49,68,85,120,767
65,bwd_pre_combine,298,6,16,32,45,57,83,151
65,bwd_post_dispatch,288,24,35,38,40,41,43,47
65,bwd_post_combine,300,4,5,15,22,28,88,273
65,fwd_pre_dispatch,288,21,36,45,53,60,83,161
65,fwd_pre_combine,268,6,9,19,27,33,80,130
66,bwd_pre_dispatch,288,32,76,97,107,117,150,999
66,bwd_pre_combine,300,35,75,102,112,121,142,236
66,bwd_post_dispatch,288,25,30,32,34,36,38,53
66,bwd_post_combine,300,16,27,37,42,50,118,296
66,fwd_pre_dispatch,288,48,58,65,71,77,101,170
66,fwd_pre_combine,276,10,27,37,43,49,104,142
67,bwd_pre_dispatch,288,18,43,51,57,67,104,936
67,bwd_pre_combine,300,23,47,64,72,85,115,192
67,bwd_post_dispatch,288,30,37,39,41,43,46,78
67,bwd_post_combine,300,4,11,23,30,38,103,303
67,fwd_pre_dispatch,288,42,52,62,69,76,99,175
67,fwd_pre_combine,262,5,9,21,28,35,82,127
68,bwd_pre_dispatch,287,13,23,34,42,52,117,504
68,bwd_pre_combine,169,5,6,9,21,32,90,130
68,bwd_post_dispatch,288,30,34,35,37,39,46,75
68,bwd_post_combine,300,4,4,14,21,31,98,288
68,fwd_pre_dispatch,288,28,40,50,57,64,90,152
68,fwd_pre_combine,227,6,7,17,25,33,87,131
69,bwd_pre_dispatch,288,27,65,92,100,110,146,846
69,bwd_pre_combine,300,9,23,45,57,66,90,157
69,bwd_post_dispatch,288,26,32,35,37,38,42,69
69,bwd_post_combine,300,4,7,21,33,43,84,305
69,fwd_pre_dispatch,288,42,56,64,71,77,106,167
69,fwd_pre_combine,268,6,13,23,33,43,86,133
70,bwd_pre_dispatch,288,36,48,65,85,101,154,1032
70,bwd_pre_combine,300,22,59,76,88,98,136,214
70,bwd_post_dispatch,288,23,32,34,36,38,42,68
70,bwd_post_combine,300,7,18,31,38,45,107,296
70,fwd_pre_dispatch,288,22,32,41,48,55,85,148
70,fwd_pre_combine,276,8,17,31,38,45,97,139
71,bwd_pre_dispatch,288,34,42,53,65,90,137,936
71,bwd_pre_combine,300,27,69,96,107,120,140,213
71,bwd_post_dispatch,288,9,30,32,34,36,39,60
71,bwd_post_combine,300,15,29,38,45,50,112,304
71,fwd_pre_dispatch,288,31,43,51,57,62,87,150
71,fwd_pre_combine,276,7,22,34,41,48,100,137
